event name,latitude,longitude,depth,Mrr,Mtt,Mpp,Mrt,Mrp,Mtp,MrrError,MttError,MppError,MrtError,MrpError,MtpError,half duration,moment,magnitude,exponent,year,month,day,dayofweek,is_weekend,is_weekday,hour,minute,second
62,-17.17,-73.48,15.0,29.032274169835723,27.774948855669816,29.016860338716853,28.493256681289882,29.18446014291114,28.420773861972744,23.612783856719737,23.792391689498253,23.707570176097935,27.3013165354743,27.47732098424707,23.653212513775344,4.2,25.278524964737016,6.12,25,1980,3,7,4,0,1,8,25,12
63,-30.17,-72.08,43.4,29.032220735761985,27.775183151292595,29.0169022669858,28.493259010683797,29.184486472106368,28.42061051091511,22.886490725172482,22.98227123303957,23.049218022670182,27.30105431547402,27.477137902355725,22.991226075692495,1.7,24.158060793936606,5.37,24,1980,3,23,6,1,0,23,33,15
64,-43.38,-75.86,15.0,29.03219420982659,27.775090293786405,29.01693506905501,28.493148287888566,29.184453213162854,28.42068649847771,23.770852011642145,23.85733249643127,23.806179973983888,27.30139681953992,27.477348476047464,23.81954393554187,3.2,25.214048679411942,6.08,25,1980,3,29,5,1,0,6,41,53
65,-38.05,-73.91,32.4,29.0322204292995,27.775169012576978,29.016903403174275,28.493265064259855,29.184483396520665,28.420614138308586,22.75587485567249,22.90848501887865,22.934498451243567,27.301054966878777,27.477151943778715,22.845098040014257,2.0,24.272537777375238,5.45,24,1980,3,29,5,1,0,17,49,11
66,-31.49,-67.42,15.0,29.03221934942075,27.775143182724438,29.016905998017105,28.49327441087136,29.184487965589298,28.420625488556812,22.707570176097935,22.835690571492425,22.81358098856819,27.301062219119064,27.47714597984833,22.722633922533813,1.7,24.111598524880392,5.34,24,1980,4,9,2,0,1,8,17,59
67,-21.58,-68.96,115.4,29.032210461085967,27.775151083440612,29.01691475654146,28.493274995289426,29.184486219358227,28.420610082221152,22.897627091290442,23.130333768495007,23.08635983067475,27.301046064262543,27.477131098616354,23.060697840353612,2.0,24.258876629372132,5.44,24,1980,4,14,0,0,1,23,57,32
68,-24.24,-67.33,205.2,29.0322115982481,27.775155383585506,29.016913332165466,28.493269862426093,29.184483947458208,28.42061496271197,22.897627091290442,23.08635983067475,23.02118929906994,27.301042372880342,27.47713138813935,22.99563519459755,1.9,24.255272505103306,5.44,24,1980,5,2,4,0,1,19,9,18
69,-19.43,-69.17,104.0,29.031936245515606,27.774730775749724,29.01722267547059,28.493471295729268,29.184286098906398,28.420442281994003,24.260071387985075,24.238046103128795,24.164352855784436,27.301320875532976,27.4773065141794,24.225309281725863,4.0,26.013258665283516,6.61,26,1980,5,26,0,0,1,18,41,51
70,-23.08,-71.62,15.0,29.03222574800591,27.77521747584674,29.01689511561362,28.493269206865808,29.18448341355998,28.420619727732856,22.886490725172482,23.037426497940622,23.02530586526477,27.30107754830629,27.47716077371943,22.89209460269048,2.4,24.510410948010176,5.61,24,1980,5,30,4,0,1,16,56,25
71,-33.03,-71.93,20.0,29.032236602965007,27.77523343474738,29.01688294714954,28.493258117983412,29.184474922218005,28.42061123639623,23.152288344383056,23.260071387985075,23.296665190261532,27.301086450277158,27.477169748229304,23.187520720836464,3.0,24.857453117035266,5.84,24,1980,6,11,2,0,1,14,21,25
